"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"microbenchmark.ThreadConcurrentRunner.compute_df","thrpt",1,10,"2,861881","0,034195","ops/s",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"2870,692341","33,172120","MB/sec",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"1114292381,848276","95576,203764","B/op",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"2865,356103","32,818376","MB/sec",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1112231794,537931","7634100,199252","B/op",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,838362","0,009627","MB/sec",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"325420,137931","0,000000","B/op",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"67,285186","9,495433","MB/sec",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"26127631,144828","3855337,271167","B/op",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,10,"576,000000",NaN,"counts",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,10,"13951,000000",NaN,"ms",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf","thrpt",1,10,"3,015051","0,028361","ops/s",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"3297,662433","32,166182","MB/sec",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"1214531063,102796","18197,978664","B/op",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"3293,866739","35,637409","MB/sec",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1213128242,246882","1595051,653702","B/op",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,832021","0,011474","MB/sec",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"306454,792258","6468,580898","B/op",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"2,303733","0,119525","MB/sec",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"848403,665376","39940,115044","B/op",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.count","thrpt",1,10,"586,000000",NaN,"counts",1000,devel,24,foreach_apache
"microbenchmark.ThreadConcurrentRunner.compute_tfidf:·gc.time","thrpt",1,10,"2050,000000",NaN,"ms",1000,devel,24,foreach_apache
