"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataset","Param: stringManipulation"
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"12737922,927283","89207,990639","B/op",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,993280","0,481472","MB/sec",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"23379,975442","11419,333571","B/op",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"664,000000",NaN,"counts",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"1208,000000",NaN,"ms",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"3,400871","0,023359","ops/s",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"410,243957","3,059922","MB/sec",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"134614552,738151","89645,824584","B/op",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"405,487898","7,863765","MB/sec",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"133052575,021176","2188557,929500","B/op",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"2,026804","0,426381","MB/sec",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"665398,002689","144063,367945","B/op",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"379,000000",NaN,"counts",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"2058,000000",NaN,"ms",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"5,405035","0,052611","ops/s",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"566,385723","5,331063","MB/sec",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"117070210,025859","35782,547463","B/op",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"558,937638","12,677196","MB/sec",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"115528714,328620","2126896,315708","B/op",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"2,904446","1,043316","MB/sec",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"600197,552593","214842,032442","B/op",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"403,000000",NaN,"counts",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"2119,000000",NaN,"ms",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"3,108509","0,020657","ops/s",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"391,117233","2,738389","MB/sec",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"140363608,048387","89539,153736","B/op",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"383,562033","7,052438","MB/sec",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"137651497,290323","2237392,117519","B/op",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"1,777786","0,556841","MB/sec",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"637686,215323","198325,500092","B/op",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"361,000000",NaN,"counts",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"1932,000000",NaN,"ms",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df","thrpt",1,10,"4,610319","0,027471","ops/s",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"523,306545","3,345359","MB/sec",devel_10_000_id,stream_apache
