"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataset","Param: stringManipulation"
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"2,117633","0,040114","MB/sec",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"27262976,000000","0,000000","B/op",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,10,"30,000000",NaN,"counts",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,10,"1950,000000",NaN,"ms",test_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,10,"0,006158","0,000029","ops/s",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"273,064157","1,310684","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"47390757200,800000","22727,028571","B/op",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"267,871502","1,293047","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"46489560678,400000","3770060,788828","B/op",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,217507","0,001044","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"37748736,000000","0,000000","B/op",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,747677","0,008591","MB/sec",train_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"129761280,000000","1506264,173518","B/op",train_id,foreach_java
