"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: param","Param: stringManipulation"
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df","thrpt",1,5,"5,650098","0,116563","ops/s",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"282,959663","8,584436","MB/sec",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"55869638,620551","96581,139477","B/op",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"907,449659","41,713600","MB/sec",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"179186527,342356","11163029,935002","B/op",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,5,"120,000000",NaN,"counts",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,5,"3043,000000",NaN,"ms",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df","thrpt",1,5,"9,627605","0,271409","ops/s",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"380,488241","9,318936","MB/sec",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"44059180,973771","61234,560237","B/op",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"1111,354909","76,095485","MB/sec",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"128684294,495603","5958556,482638","B/op",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,5,"160,000000",NaN,"counts",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,5,"3746,000000",NaN,"ms",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df","thrpt",1,5,"5,261592","0,032495","ops/s",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"276,878927","1,410831","MB/sec",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"58638113,358491","6503,453610","B/op",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"868,371068","317,038566","MB/sec",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"183892532,166038","66477901,502634","B/op",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,5,"112,000000",NaN,"counts",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,5,"2323,000000",NaN,"ms",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df","thrpt",1,5,"8,094033","0,649130","ops/s",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"348,956483","26,786949","MB/sec",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"48061688,654024","174225,844799","B/op",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"1076,209273","258,387884","MB/sec",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"148139631,567011","26666209,750605","B/op",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,5,"156,000000",NaN,"counts",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,5,"4009,000000",NaN,"ms",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df","thrpt",1,5,"0,502731","0,010067","ops/s",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"327,354096","5,854586","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"795606109,333333","1296,619811","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"590,474778","53,569611","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"1435081113,600000","123571431,878135","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,5,"260,000000",NaN,"counts",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,5,"23798,000000",NaN,"ms",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df","thrpt",1,5,"0,864092","0,020548","ops/s",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"413,792964","15,424207","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"595287981,155556","25576,982100","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"674,864821","125,253495","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"970701755,733333","158101313,183641","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,5,"307,000000",NaN,"counts",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,5,"27194,000000",NaN,"ms",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df","thrpt",1,5,"0,467570","0,005653","ops/s",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"332,015324","4,734221","MB/sec",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"878757128,640000","43426,576161","B/op",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"597,302510","37,371204","MB/sec",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"1580917063,680000","100605175,099479","B/op",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.count","thrpt",1,5,"232,000000",NaN,"counts",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.time","thrpt",1,5,"20318,000000",NaN,"ms",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,stream_java
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df","thrpt",1,5,"0,715312","0,211796","ops/s",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.tfidf.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"379,604591","85,570880","MB/sec",devel_100_000_id,stream_apache
