"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: param","Param: stringManipulation"
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"191744736,000000","350262,461850","B/op",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"423,181904","336,130212","MB/sec",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"164400807,371034","129167867,311221","B/op",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,5,"52,000000",NaN,"counts",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,5,"911,000000",NaN,"ms",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,5,"5,049175","0,119244","ops/s",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"662,835093","14,482109","MB/sec",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"146235973,584314","3613,336528","B/op",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"499,839838","14,289461","MB/sec",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"110277298,698039","3305117,272770","B/op",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,5,"60,000000",NaN,"counts",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,5,"1003,000000",NaN,"ms",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,5,"2,594576","0,112112","ops/s",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"470,843071","19,858731","MB/sec",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"201978539,354986","533050,077828","B/op",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"430,084261","280,335174","MB/sec",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"184313969,194302","116260816,283566","B/op",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,5,"59,000000",NaN,"counts",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,5,"914,000000",NaN,"ms",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,5,"4,164857","0,083407","ops/s",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"605,341671","11,936742","MB/sec",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"161880369,054264","170996,803284","B/op",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"501,290147","28,568484","MB/sec",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,5,"134058409,475969","8293888,251567","B/op",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.count","thrpt",1,5,"60,000000",NaN,"counts",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.time","thrpt",1,5,"971,000000",NaN,"ms",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df","thrpt",1,5,"0,266882","0,005215","ops/s",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate","thrpt",1,5,"530,593308","14,078034","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,5,"2434825508,800000","47340,542147","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_df:·gc.churn.ZHeap","thrpt",1,5,"403,031131","50,687827","MB/sec",devel_100_000_id,foreach_java
