"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: param","Param: stringManipulation"
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"0,423526","0,007400","ops/s",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"670,896933","17,059083","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"1928352904,960000","16887,776575","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"522,831726","34,116402","MB/sec",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"1502735237,120000","79100865,084005","B/op",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"140,000000",NaN,"counts",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"7206,000000",NaN,"ms",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"0,224799","0,002957","ops/s",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"528,489189","6,449285","MB/sec",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"2812422903,466667","57183,321856","B/op",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"385,087631","11,747082","MB/sec",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"2049336934,400000","81326078,419222","B/op",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"121,000000",NaN,"counts",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"6528,000000",NaN,"ms",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"0,344747","0,013305","ops/s",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"647,238425","19,188329","MB/sec",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"2288676438,800000","9635,373902","B/op",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"544,339888","13,963265","MB/sec",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"1924870963,200000","52849836,066785","B/op",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"140,000000",NaN,"counts",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"7115,000000",NaN,"ms",devel_100_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_100_000_id,stream_apache
