01;	0.094939713282065900;	5.7/min
02;	0.167294019238812200;	10.0/min
03;	0.176834659593280300;	10.6/min
04;	0.157623044489104300;	9.5/min
06;	0.111544896820970450;	6.7/min
08;	0.076926035616754500;	4.6/min
12;	0.025528112834258727;	1.5/min
16;	OutOfMemory;	OutOfMemory;
24;	OutOfMemory;	OutOfMemory;
32;	OutOfMemory;	OutOfMemory;
