"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.count","thrpt",1,10,"1848,000000",NaN,"counts",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.time","thrpt",1,10,"85699,000000",NaN,"ms",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df","thrpt",1,10,"0,561974","0,004275","ops/s",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"145,523038","1,020343","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"293530532,666667","27844,957847","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Compressed_Class_Space","thrpt",1,10,"0,000046","0,000000","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Compressed_Class_Space.norm","thrpt",1,10,"92,000000","0,000000","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Metaspace","thrpt",1,10,"0,000277","0,000009","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Metaspace.norm","thrpt",1,10,"558,800000","18,486195","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"794,904913","47,848038","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"1603482419,200000","99836660,486079","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.count","thrpt",1,10,"1636,000000",NaN,"counts",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.time","thrpt",1,10,"92213,000000",NaN,"ms",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df","thrpt",1,10,"0,526925","0,005646","ops/s",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"137,314694","1,387283","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"294025528,133333","18974,444497","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Compressed_Class_Space","thrpt",1,10,"0,000043","0,000000","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Compressed_Class_Space.norm","thrpt",1,10,"92,000000","0,000000","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Metaspace","thrpt",1,10,"0,000261","0,000009","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Metaspace.norm","thrpt",1,10,"558,800000","18,486195","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.ZHeap","thrpt",1,10,"904,439012","224,906978","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.ZHeap.norm","thrpt",1,10,"1937488827,733333","491107800,697305","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.count","thrpt",1,10,"1636,000000",NaN,"counts",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.time","thrpt",1,10,"98390,000000",NaN,"ms",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf","thrpt",1,10,"0,083951","0,000678","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"24,509272","0,192881","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"328260500,800000","66083,815601","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,10,"406,406461","47,070146","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,10,"5442319155,200000","611826085,890683","B/op",1000,test,1,foreach_apache
