"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"266707657,714286","16236,276059","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"906,864121","51,606624","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"1625066308,457143","92096563,936650","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.count","thrpt",1,10,"1730,000000",NaN,"counts",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.time","thrpt",1,10,"76655,000000",NaN,"ms",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,8,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df","thrpt",1,10,"0,619675","0,003584","ops/s",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"146,962840","0,728321","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"267198921,142857","12442,056136","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Shenandoah","thrpt",1,10,"637,543015","52,065969","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.churn.Shenandoah.norm","thrpt",1,10,"1159155268,457143","94777467,126966","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.count","thrpt",1,10,"1740,000000",NaN,"counts",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·gc.time","thrpt",1,10,"90834,000000",NaN,"ms",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,12,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf","thrpt",1,10,"0,088178","0,000758","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"23,681683","0,187563","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"302472000,000000","13248,463537","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"278,207504","2,255581","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.Shenandoah.norm","thrpt",1,10,"3553378794,400000","6852756,627388","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.count","thrpt",1,10,"200,000000",NaN,"counts",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.time","thrpt",1,10,"1672,000000",NaN,"ms",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,1,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf","thrpt",1,10,"0,173247","0,001538","ops/s",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"41,097903","0,331987","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"266783592,800000","7296,092301","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"662,541108","6,468845","MB/sec",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.Shenandoah.norm","thrpt",1,10,"4300811328,000000","12312444,295337","B/op",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.count","thrpt",1,10,"320,000000",NaN,"counts",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.time","thrpt",1,10,"2718,000000",NaN,"ms",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,2,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf","thrpt",1,10,"0,328300","0,002366","ops/s",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"72,910009","0,499707","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"248941141,000000","3049,987505","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"1356,666276","9,714930","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.Shenandoah.norm","thrpt",1,10,"4632148231,800000","8049672,350730","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.count","thrpt",1,10,"560,000000",NaN,"counts",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.time","thrpt",1,10,"5091,000000",NaN,"ms",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,4,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf","thrpt",1,10,"0,453056","0,004266","ops/s",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"98,507693","0,869508","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"245359477,280000","2253,092052","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.Shenandoah","thrpt",1,10,"1734,614685","15,509517","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.churn.Shenandoah.norm","thrpt",1,10,"4320518760,960001","8739751,511227","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.count","thrpt",1,10,"640,000000",NaN,"counts",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·gc.time","thrpt",1,10,"5897,000000",NaN,"ms",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,6,foreach_apache
"jv.microbenchmark.runner.future.CompletableFutureRunner.compute_tfidf","thrpt",1,10,"0,534013","0,002941","ops/s",1000,test,8,foreach_apache
