"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: buffer_size","Param: dataset","Param: n_threads","Param: stringManipulation"
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"7,822494","0,190580","MB/sec",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"16235451,733333","402634,842489","B/op",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.count","thrpt",1,10,"220,000000",NaN,"counts",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.time","thrpt",1,10,"10948,000000",NaN,"ms",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,4,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df","thrpt",1,10,"0,699190","0,005774","ops/s",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"163,897564","1,796853","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"265815838,700000","987127,936695","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"2694,712440","53,244169","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4370455405,714285","81481746,087002","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,817403","0,169311","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"2949120,000000","313321,887232","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"26,533931","8,433353","MB/sec",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"43007877,114286","13404815,496877","B/op",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.count","thrpt",1,10,"290,000000",NaN,"counts",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.time","thrpt",1,10,"13549,000000",NaN,"ms",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,6,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df","thrpt",1,10,"0,764670","0,003904","ops/s",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"182,843391","1,216398","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"271634512,600000","799750,324174","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"2941,021019","45,074043","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4369219584,000000","61855750,609953","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,852774","0,008715","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"2752512,000000","0,000000","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"38,690258","2,262092","MB/sec",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"57481625,600000","3479127,264173","B/op",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.count","thrpt",1,10,"320,000000",NaN,"counts",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.time","thrpt",1,10,"15547,000000",NaN,"ms",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,8,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df","thrpt",1,10,"0,815187","0,012161","ops/s",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"200,443444","3,145815","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"278445546,266667","496336,914569","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"3166,644441","56,879994","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"4398999142,400000","53826534,286994","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen","thrpt",1,10,"1,782702","0,077866","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"2477260,800000","146216,880708","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space","thrpt",1,10,"72,180736","13,399805","MB/sec",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"100352938,311111","19640503,963097","B/op",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.count","thrpt",1,10,"416,000000",NaN,"counts",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·gc.time","thrpt",1,10,"16610,000000",NaN,"ms",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_df:·stack","thrpt",1,1,NaN,NaN,"---",1000,test,12,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf","thrpt",1,10,"0,090410","0,001024","ops/s",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,10,"24,157123","0,256279","MB/sec",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"302141318,400000","421,677333","B/op",1000,test,1,foreach_apache
"jv.microbenchmark.runner.forkjoin.ForkJoinRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"300,211443","3,194261","MB/sec",1000,test,1,foreach_apache
